name	ip	accepted	up_mtu	down_mtu	Mbit_s
YandexRef	77.88.8.8	yes	122	3603	0.72
176.192.0.50	176.192.0.50	yes	122	3286	0.08
195.208.4.1	195.208.4.1	no	0	0	0.00
195.208.5.1	195.208.5.1	no	0	0	0.00
37.113.134.196	37.113.134.196	yes	122	3614	0.14
62.76.62.76	62.76.62.76	no	0	0	0.00
62.76.76.62	62.76.76.62	yes	122	893	0.23
80.82.46.240	80.82.46.240	yes	122	3614	0.15
80.82.55.71	80.82.55.71	yes	122	3522	0.00
81.20.203.120	81.20.203.120	no	0	0	0.00
83.171.127.235	83.171.127.235	yes	122	3614	0.00
85.175.99.81	85.175.99.81	yes	122	3583	0.04
89.110.45.13	89.110.45.13	yes	122	228	0.04
89.175.116.122	89.175.116.122	no	0	0	0.00
91.122.49.24	91.122.49.24	yes	122	3614	0.18
91.122.55.119	91.122.55.119	yes	122	3614	0.13
91.144.135.156	91.144.135.156	yes	122	3603	0.73
92.255.172.51	92.255.172.51	yes	122	3614	0.03
95.54.192.158	95.54.192.158	no	0	0	0.00
